Layer,Run_1
input_ids,0
__module.model.embed_tokens/ov_ext::embedding/Convert_1,41
__module.model.embed_tokens/ov_ext::embedding/Gather,3276
__module.model.layers.0.input_layernorm/aten::mul/Multiply_1,1421
ShapeOf_14969,3
Gather_14972,0
Concat_53865,2
Broadcast_53868,1
ReadValue_53497,8
ReadValue_53435,3
ReadValue_53437,6
ReadValue_53439,4
ReadValue_53441,4
ReadValue_53467,4
ReadValue_53469,4
ReadValue_53471,10
ReadValue_53473,4
ReadValue_53475,4
ReadValue_53477,5
ReadValue_53479,11
ReadValue_53481,5
ReadValue_53483,5
ReadValue_53485,5
ReadValue_53487,11
ReadValue_53489,3
ReadValue_53491,4
ReadValue_53493,4
ReadValue_53495,6
ReadValue_53465,4
ReadValue_53443,3
ReadValue_53445,4
ReadValue_53447,8
ReadValue_53449,10
ReadValue_53451,2
ReadValue_53453,2
ReadValue_53455,7
ReadValue_53457,2
ReadValue_53459,2
ReadValue_53461,3
ReadValue_53463,8
__module.model.layers.0.self_attn.q_proj/ov_ext::linear/MatMul,6521
__module.model.layers.0.self_attn/aten::view/Reshape,1
__module.model.rotary_emb/prim::ListConstruct,4
Broadcast_17698,1
__module.model.rotary_emb/aten::expand/Broadcast,12
position_ids,0
Convert_17804,9
__module.model.rotary_emb/aten::unsqueeze/Unsqueeze_2,0
__module.model.rotary_emb/aten::to/Convert_3,10
__module.model.rotary_emb/aten::matmul/MatMul,311
__module.model.rotary_emb/aten::transpose/Transpose,39
__module.model.rotary_emb/aten::cat/Concat,49
__module.model.rotary_emb/aten::cos/Cos,210
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze,2
__module.model.rotary_emb/aten::sin/Sin,210
__module.model.layers.0.self_attn/aten::unsqueeze/Unsqueeze_1,0
__module.model.layers.0.self_attn/aten::add/Add,1506
__module.model.layers.0.self_attn.k_proj/ov_ext::linear/MatMul,1305
__module.model.layers.0.self_attn/aten::view/Reshape_1,1
__module.model.layers.0.self_attn/aten::add/Add_1,440
__module.model.layers.0.self_attn.v_proj/ov_ext::linear/MatMul,1204
__module.model.layers.0.self_attn/aten::view/Reshape_2,1
__module.model.layers.0.self_attn/aten::transpose/Transpose_2,290
Gather_14984,0
ShapeOf_14993,2
Gather_14996,0
__module.model/aten::add/Add_1,4
__module.model/aten::arange/Range_1,19
__module.model/aten::unsqueeze/Unsqueeze_2,0
__module.model/aten::le/Convert,10
__module.model/aten::le/Convert_bf16_f32___module.model/aten::le/LessEqual,19
Gather_14996_i32_f32___module.model/aten::arange/Range,5
__module.model/aten::add/Add,4
__module.model/aten::add/Add_i32_f32___module.model/aten::arange/Range,4
__module.model/aten::arange/Range,19
__module.model/aten::unsqueeze/Unsqueeze_5,0
attention_mask,0
Convert_18024,5
Abs_18025,6
Clamp_18026,0
__module.model/aten::to/Convert,7
ShapeOf_18028,0
__module.model/aten::index/ReduceProd,4
__module.model/aten::index/Concat,1
__module.model/aten::index/Reshape,0
Squeeze_14997,0
__module.model/aten::arange/Range_2,6
__module.model/aten::unsqueeze/Unsqueeze_8,0
__module.model/aten::index/Split,0
__module.model/aten::index/Multiply,5
__module.model/aten::index/Add,0
__module.model/aten::index/Gather,5
__module.model/aten::index/Reshape_8,0
ShapeOf_18081,0
__module.model/aten::index/Reshape_12,0
Reshape_14986,0
Unsqueeze_216,0
__module.model/prim::ListConstruct,1
Broadcast_17704,57
__module.model/aten::le/LessEqual,283
__module.model/aten::__and__/BitwiseAnd,0
__module.model/aten::__and__/BitwiseAnd_1,0
__module.model/aten::expand/Broadcast,0
Reshape_15003,0
Add_47989,3
__module.model.layers.0.self_attn/aten::slice/Slice_15,172
beam_idx,0
__module.model.layers.0.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,39457
__module.model.layers.0.self_attn/aten::transpose/Transpose_3,288
__module.model.layers.0.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.0.self_attn.o_proj/ov_ext::linear/MatMul,7165
__module.model.layers.0/aten::add/Add,293
__module.model.layers.0.post_attention_layernorm/aten::mul/Multiply_1,222
__module.model.layers.0.mlp.down_proj/ov_ext::linear/MatMul,94187
__module.model.layers.0/aten::add/Add_1,532
__module.model.layers.1.input_layernorm/aten::mul/Multiply_1,284
__module.model.layers.1.self_attn.q_proj/ov_ext::linear/MatMul,5849
__module.model.layers.1.self_attn/aten::view/Reshape,1
__module.model.layers.1.self_attn/aten::add/Add,747
__module.model.layers.1.self_attn.k_proj/ov_ext::linear/MatMul,1524
__module.model.layers.1.self_attn/aten::view/Reshape_1,0
__module.model.layers.1.self_attn/aten::add/Add_1,169
__module.model.layers.1.self_attn.v_proj/ov_ext::linear/MatMul,1798
__module.model.layers.1.self_attn/aten::view/Reshape_2,1
__module.model.layers.1.self_attn/aten::transpose/Transpose_2,392
__module.model.layers.1.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,34650
__module.model.layers.1.self_attn/aten::transpose/Transpose_3,1488
__module.model.layers.1.self_attn/aten::reshape/Reshape_2,2
__module.model.layers.1.self_attn.o_proj/ov_ext::linear/MatMul,8611
__module.model.layers.1/aten::add/Add,280
__module.model.layers.1.post_attention_layernorm/aten::mul/Multiply_1,218
__module.model.layers.1.mlp.down_proj/ov_ext::linear/MatMul,88390
__module.model.layers.1/aten::add/Add_1,426
__module.model.layers.2.input_layernorm/aten::mul/Multiply_1,290
__module.model.layers.2.self_attn.q_proj/ov_ext::linear/MatMul,5889
__module.model.layers.2.self_attn/aten::view/Reshape,1
__module.model.layers.2.self_attn/aten::add/Add,751
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul,1226
__module.model.layers.2.self_attn/aten::view/Reshape_1,1
__module.model.layers.2.self_attn/aten::add/Add_1,195
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul,2307
__module.model.layers.2.self_attn/aten::view/Reshape_2,1
__module.model.layers.2.self_attn/aten::transpose/Transpose_2,131
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,31754
__module.model.layers.2.self_attn/aten::transpose/Transpose_3,291
__module.model.layers.2.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul,4333
__module.model.layers.2/aten::add/Add,297
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1,196
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul,88498
__module.model.layers.2/aten::add/Add_1,440
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1,380
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul,5125
__module.model.layers.3.self_attn/aten::view/Reshape,1
__module.model.layers.3.self_attn/aten::add/Add,554
__module.model.layers.3.self_attn.k_proj/ov_ext::linear/MatMul,1250
__module.model.layers.3.self_attn/aten::view/Reshape_1,0
__module.model.layers.3.self_attn/aten::add/Add_1,186
__module.model.layers.3.self_attn.v_proj/ov_ext::linear/MatMul,1268
__module.model.layers.3.self_attn/aten::view/Reshape_2,1
__module.model.layers.3.self_attn/aten::transpose/Transpose_2,186
__module.model.layers.3.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,30070
__module.model.layers.3.self_attn/aten::transpose/Transpose_3,287
__module.model.layers.3.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.3.self_attn.o_proj/ov_ext::linear/MatMul,4313
__module.model.layers.3/aten::add/Add,276
__module.model.layers.3.post_attention_layernorm/aten::mul/Multiply_1,198
__module.model.layers.3.mlp.down_proj/ov_ext::linear/MatMul,89659
__module.model.layers.3/aten::add/Add_1,1779
__module.model.layers.4.input_layernorm/aten::mul/Multiply_1,1773
__module.model.layers.4.self_attn.q_proj/ov_ext::linear/MatMul,4708
__module.model.layers.4.self_attn/aten::view/Reshape,1
__module.model.layers.4.self_attn/aten::add/Add,613
__module.model.layers.4.self_attn.k_proj/ov_ext::linear/MatMul,1247
__module.model.layers.4.self_attn/aten::view/Reshape_1,0
__module.model.layers.4.self_attn/aten::add/Add_1,185
__module.model.layers.4.self_attn.v_proj/ov_ext::linear/MatMul,1249
__module.model.layers.4.self_attn/aten::view/Reshape_2,0
__module.model.layers.4.self_attn/aten::transpose/Transpose_2,193
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,29723
__module.model.layers.4.self_attn/aten::transpose/Transpose_3,294
__module.model.layers.4.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul,4394
__module.model.layers.4/aten::add/Add,280
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1,209
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul,88650
__module.model.layers.4/aten::add/Add_1,487
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1,326
__module.model.layers.5.self_attn.q_proj/ov_ext::linear/MatMul,4568
__module.model.layers.5.self_attn/aten::view/Reshape,2
__module.model.layers.5.self_attn/aten::add/Add,708
__module.model.layers.5.self_attn.k_proj/ov_ext::linear/MatMul,1352
__module.model.layers.5.self_attn/aten::view/Reshape_1,1
__module.model.layers.5.self_attn/aten::add/Add_1,197
__module.model.layers.5.self_attn.v_proj/ov_ext::linear/MatMul,2217
__module.model.layers.5.self_attn/aten::view/Reshape_2,1
__module.model.layers.5.self_attn/aten::transpose/Transpose_2,120
__module.model.layers.5.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,30254
__module.model.layers.5.self_attn/aten::transpose/Transpose_3,291
__module.model.layers.5.self_attn/aten::reshape/Reshape_2,1
__module.model.layers.5.self_attn.o_proj/ov_ext::linear/MatMul,4346
__module.model.layers.5/aten::add/Add,283
__module.model.layers.5.post_attention_layernorm/aten::mul/Multiply_1,201
__module.model.layers.5.mlp.down_proj/ov_ext::linear/MatMul,88891
__module.model.layers.5/aten::add/Add_1,609
__module.model.layers.6.input_layernorm/aten::mul/Multiply_1,566
__module.model.layers.6.self_attn.q_proj/ov_ext::linear/MatMul,7216
__module.model.layers.6.self_attn/aten::view/Reshape,1
__module.model.layers.6.self_attn/aten::add/Add,598
__module.model.layers.6.self_attn.k_proj/ov_ext::linear/MatMul,1240
__module.model.layers.6.self_attn/aten::view/Reshape_1,1
__module.model.layers.6.self_attn/aten::add/Add_1,187
__module.model.layers.6.self_attn.v_proj/ov_ext::linear/MatMul,2479
__module.model.layers.6.self_attn/aten::view/Reshape_2,2
__module.model.layers.6.self_attn/aten::transpose/Transpose_2,203
__module.model.layers.6.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention,29698
__module.model.layers.6.self_attn/aten::transpose/Transpose_3,284
__module.model.layers.6.self_attn/aten::reshape/Reshape_2,0
