Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x256:256x256,0.0335544,0.54834,0.00610352,5497.56,0.00775417,4327.28
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 512x512:512x512,0.268435,0.29541,0.0358887,7479.67,0.0477517,5621.49
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 768x768:768x768,0.90597,0.351562,0.076416,11855.8,0.09229,9816.55
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1024x1024:1024x1024,2.14748,0.521973,0.252441,8506.86,0.265363,8092.64
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1280x1280:1280x1280,4.1943,0.588623,0.429688,9761.29,0.444822,9429.17
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1536x1536:1536x1536,7.24776,0.732178,0.754883,9601.17,0.780535,9285.62
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1792x1792:1792x1792,11.5092,0.634033,1.11816,10292.9,1.14393,10061.1
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2048x2048:2048x2048,17.1799,0.780518,1.84277,9322.83,1.87461,9164.5
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2304x2304:2304x2304,24.4612,0.59082,2.38501,10256.2,2.448,9992.32
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2560x2560:2560x2560,33.5544,0.669922,3.34473,10032,3.3824,9920.3
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2816x2816:2816x2816,44.6609,0.74585,4.38159,10192.9,4.41947,10105.5
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 3072x3072:3072x3072,57.9821,0.878174,6.33301,9155.53,6.39937,9060.58
